respondent_id,age_group,gender,city_tier,occupation,monthly_income_band,monthly_income_inr,wardrobe_size_band,wardrobe_size_count,wardrobe_utilisation_pct,shopping_channels,purchase_frequency,monthly_clothing_spend_inr,annual_festive_spend_inr,festive_spend_band,style_types,ethnic_categories,saree_types,colour_palette,accessories,pain_occasions,daily_decision_minutes,purchase_drivers,weather_importance_score,prior_app_usage,privacy_comfort,preferred_features,subscription_willingness,social_media_influence_score,ai_trust_score,discovery_channels,fashion_identity,wardrobe_emotion,repeat_outfit_anxiety,sustainability_stance,return_regret_rate,trust_nano_influencer,trust_celebrity,trust_friend_family,trust_ai_recommendation,trust_brand_stylist,wardrobe_gap_score,impulse_buyer_flag,spend_power_index,engagement_likelihood_score,persona_archetype,outlier_flag,q25_platform_interest,target_interested
R1090,25-34,Man,Metro,Self-employed/business,40001-75000,57500,71-100,85,35,Myntra/Ajio/Nykaa Fashion|Instagram/social commerce|Amazon/Flipkart,Once every 2-3 months,3900,70000,40001-100000,Casual/everyday basics,Salwar kameez/churidar|Kurta/kurti|Anarkali/palazzo,I dont own sarees,Bright/vibrant,Watch/smartwatch|Jhumkas/traditional jewellery,Formal meetings/interviews|Weddings/festive,0,Trend/social media|Colour/pattern appeal,3,Yes regularly,Comfortable with privacy controls,Daily outfit suggestions|Occasion outfit planner|Smart shopping,500-999,4,3,Instagram Reels/posts|Friends and family,Clothing is self-expression,Excited - love outfits,Very concerned - avoid it,Very important - actively buy sustainable,Very often - impulse habit,2,3,4,3,2,5.5,1,34.1,72,Urban Trendsetter,None,Likely to try it out,Interested
R1091,18-24,Woman,Tier 3,Salaried private,,57500,71-100,85,35,In-store mall/high street|Local market|Myntra/Ajio/Nykaa Fashion,Once every 2-3 months,3862,1000,Below 2000,Maximalist/statement|Traditional ethnic|Casual/everyday basics,Lehenga,I dont own sarees,Jewel tones,Dupatta/stole|Sneakers/casual shoes|Watch/smartwatch,Weddings/festive,49,Friend/family recommendation|Occasion need,4,Yes regularly,Neutral/unsure,Weather-based dressing|Style DNA report,0 free only,3,2,Bollywood/OTT celebrities|Instagram Reels/posts,Clothing is self-expression,Excited - love outfits,Advocate outfit repeating,Not a priority - price first,Very often - impulse habit,3,3,3,2,4,5.5,1,20.7,50,Ethnic Traditionalist,None,Unlikely - not for me,Not Interested
R1092,18-24,Man,Tier 2,Self-employed/business,40001-75000,57500,Fewer than 20,12,70,Myntra/Ajio/Nykaa Fashion|Instagram/social commerce|Amazon/Flipkart,Once a month,1637,10000,5001-15000,Casual/everyday basics|Streetwear/athleisure|Traditional ethnic,Anarkali/palazzo,,Earth tones|Pastels|Bright/vibrant,Cap/hair accessories|Heels/formal footwear,Formal meetings/interviews|Daily office/college|Travel/vacation,33,Friend/family recommendation|Brand name,3,No but aware,Will not share,Daily outfit suggestions|Smart shopping|Wardrobe gap analysis,1-99,4,2,Friends and family,Dress for the occasion,Confident - wardrobe works,Very concerned - avoid it,Not a priority - price first,Very often - impulse habit,4,3,3,2,3,0.4,1,17.2,31,Budget Conscious,None,Definitely not interested,Not Interested
R1093,25-34,Woman,Tier 1,Salaried govt/PSU,Above 150000,200000,20-40,30,80,Amazon/Flipkart|In-store mall/high street|Myntra/Ajio/Nykaa Fashion,Once every 2-3 months,7514,10000,5001-15000,Minimalist/monochrome|Indo-western fusion|Streetwear/athleisure,Kurta/kurti|None|Sherwani/bandgala,I dont own sarees,Jewel tones|Neutrals|Pastels,Kolhapuris/juttis|Watch/smartwatch|Jhumkas/traditional jewellery,Weddings/festive,23,Comfort and fabric quality|Price/discount|Occasion need,3,No but aware,Neutral/unsure,Weather-based dressing|Daily outfit suggestions,250-499,2,2,App recommendations,Clothing is purely functional,Indifferent - just clothes,Not concerned - repeat freely,Neutral - consider sometimes,Almost never - buy intentionally,3,3,4,2,5,0.6,0,59.5,27,Functional Minimalist,None,Likely to try it out,Interested
R1094,45-54,Man,Tier 3,Salaried private,75001-150000,112500,20-40,30,60,Amazon/Flipkart|Local market,Seasonally,6543,10000,5001-15000,Western formal,Dhoti/lungi|None|Salwar kameez/churidar,I dont own sarees,Earth tones,Kolhapuris/juttis|Heels/formal footwear|Western jewellery/minimalist,Weddings/festive|Casual outings/weekend|Date night/parties,27,Trend/social media|Price/discount|Brand name,4,No not aware,Neutral/unsure,Daily outfit suggestions|Wardrobe gap analysis,0 free only,3,3,Instagram Reels/posts|Bollywood/OTT celebrities,Dress for the occasion,Excited - love outfits,Somewhat concerned - mix it up,Not a priority - price first,Occasionally 1 in 5,2,3,4,3,3,1.2,0,39.7,64,Budget Conscious,None,Definitely not interested,Not Interested
R1095,35-44,Woman,Tier 1,Salaried govt/PSU,Above 150000,200000,71-100,85,40,Myntra/Ajio/Nykaa Fashion,Once a month,16208,27500,15001-40000,Casual/everyday basics|Boho/eclectic|Indo-western fusion,Lehenga|None,I dont own sarees,Neutrals|Jewel tones|Printed/mixed patterns,Sneakers/casual shoes|Dupatta/stole|Jhumkas/traditional jewellery|Cap/hair accessories,Date night/parties|Travel/vacation|Casual outings/weekend,22,Trend/social media|Occasion need,3,Yes tried once or twice,Neutral/unsure,Wardrobe gap analysis|Daily outfit suggestions,500-999,3,3,Instagram Reels/posts|YouTube fashion vlogs,I follow trends,Excited - love outfits,Very concerned - avoid it,Very important - actively buy sustainable,Often 1 in 2,3,4,4,3,4,5.1,1,83.1,71,Urban Trendsetter,None,Likely to try it out,Interested
R1096,25-34,Man,Tier 1,Self-employed/business,Below 20000,12000,41-70,55,65,Myntra/Ajio/Nykaa Fashion,Seasonally,1382,10000,5001-15000,Minimalist/monochrome|Streetwear/athleisure,Salwar kameez/churidar|None,I dont own sarees,Neutrals|Jewel tones|Pastels,Cap/hair accessories|Watch/smartwatch,Travel/vacation,2,Sustainability/ethical brand|Price/discount|Comfort and fabric quality,2,No but aware,Comfortable with privacy controls,Wardrobe gap analysis|Weather-based dressing|Occasion outfit planner,250-499,1,2,Pinterest/mood boards|Friends and family,Clothing is purely functional,Indifferent - just clothes,Not concerned - repeat freely,Never thought about this,Almost never - buy intentionally,2,2,5,2,3,1.9,0,7.5,14,Functional Minimalist,None,Unlikely - not for me,Not Interested
R1097,25-34,Woman,Metro,Salaried private,75001-150000,112500,71-100,85,30,Instagram/social commerce,Once every 2-3 months,3812,27500,15001-40000,Casual/everyday basics,Kurta/kurti|Salwar kameez/churidar,I dont own sarees,Pastels,Jhumkas/traditional jewellery|Handbag/tote,Daily office/college,27,Colour/pattern appeal|Friend/family recommendation|Price/discount,5,Yes regularly,Neutral/unsure,Occasion outfit planner|Daily outfit suggestions|Smart shopping,250-499,3,3,Friends and family,Clothing is self-expression,Guilty - know I overbuy,Somewhat concerned - mix it up,Important - but dont always follow through,Sometimes 1 in 3,,3,4,3,4,5.9,0,36.7,63,Urban Trendsetter,None,Likely to try it out,Interested
R1098,25-34,Man,Tier 3,Salaried private,75001-150000,112500,71-100,85,45,Myntra/Ajio/Nykaa Fashion|Instagram/social commerce|In-store mall/high street,Once a month,6589,149308,40001-100000,Casual/everyday basics|Streetwear/athleisure|Minimalist/monochrome,Anarkali/palazzo|Kurta/kurti|Saree,Handloom/weave|Georgette/chiffon|Cotton Tant/Chanderi,Jewel tones|Neutrals|Bright/vibrant,Watch/smartwatch|Cap/hair accessories|Jhumkas/traditional jewellery|Kolhapuris/juttis,Casual outings/weekend|Weddings/festive,0,Occasion need|Brand name|Trend/social media,3,No not aware,Completely comfortable,Weather-based dressing|Occasion outfit planner|Smart shopping,0 free only,4,3,Instagram Reels/posts|Friends and family,I follow trends,Overwhelmed - too many choices,Somewhat concerned - mix it up,Important - but dont always follow through,Sometimes 1 in 3,2,4,4,3,5,4.7,0,66.6,63,Urban Trendsetter,Contradicting Spender,Definitely will use - I need this,Interested
R1099,45-54,Woman,Tier 1,Salaried private,40001-75000,57500,41-70,55,55,Brand website|Myntra/Ajio/Nykaa Fashion|In-store mall/high street,Seasonally,4876,27500,15001-40000,Indo-western fusion,Kurta/kurti|Lehenga,I dont own sarees,Neutrals|Jewel tones|Bright/vibrant,Cap/hair accessories|Dupatta/stole|Watch/smartwatch,Casual outings/weekend|Weddings/festive,12,Trend/social media|Price/discount|Brand name,4,Yes tried once or twice,Neutral/unsure,Wardrobe gap analysis|Weather-based dressing,250-499,2,4,Instagram Reels/posts,Clothing is self-expression,Guilty - know I overbuy,Not concerned - repeat freely,,Often 1 in 2,3,2,4,4,4,2.5,1,28.2,47,Aspiring Premium,None,Unlikely - not for me,Not Interested
R1100,25-34,Man,Tier 2,Student,75001-150000,112500,71-100,85,55,Amazon/Flipkart|In-store mall/high street|Instagram/social commerce,Once every 2-3 months,6502,3500,2000-5000,Western formal|Streetwear/athleisure|Boho/eclectic,None,I dont own sarees,Bright/vibrant|Earth tones|Jewel tones,Dupatta/stole|Jhumkas/traditional jewellery,Travel/vacation|Weddings/festive,22,Comfort and fabric quality|Brand name|Occasion need,3,No not aware,Comfortable with privacy controls,Weather-based dressing|Daily outfit suggestions|Travel packing assistant,500-999,4,3,YouTube fashion vlogs|Instagram Reels/posts,Clothing is self-expression,Guilty - know I overbuy,Somewhat concerned - mix it up,Neutral - consider sometimes,Often 1 in 2,2,3,4,3,3,3.8,1,38.3,43,Urban Trendsetter,None,Unlikely - not for me,Not Interested
R1101,45-54,Woman,Tier 2,Student,40001-75000,57500,20-40,30,55,Myntra/Ajio/Nykaa Fashion,Once a month,2868,3500,2000-5000,Casual/everyday basics|Traditional ethnic|Streetwear/athleisure,Kurta/kurti,I dont own sarees,Printed/mixed patterns|Jewel tones,Cap/hair accessories|Western jewellery/minimalist,Casual outings/weekend,19,Trend/social media|Price/discount|Friend/family recommendation,3,Yes regularly,Uncomfortable,Wardrobe gap analysis|Smart shopping,0 free only,2,2,Bollywood/OTT celebrities|Instagram Reels/posts,Clothing is purely functional,Guilty - know I overbuy,Not concerned - repeat freely,Neutral - consider sometimes,Occasionally 1 in 5,3,2,4,2,3,1.3,0,18.9,37,Budget Conscious,None,Unlikely - not for me,Not Interested
R1102,25-34,Woman,Metro,Salaried private,75001-150000,112500,More than 100,120,25,Myntra/Ajio/Nykaa Fashion|In-store mall/high street|Instagram/social commerce,Once every 2-3 months,5230,27500,15001-40000,Casual/everyday basics|Minimalist/monochrome|Maximalist/statement,Sherwani/bandgala,,Pastels,Jhumkas/traditional jewellery|Sneakers/casual shoes,Travel/vacation|Date night/parties,0,Sustainability/ethical brand|Colour/pattern appeal|Occasion need,4,No but aware,Comfortable with privacy controls,Daily outfit suggestions|Occasion outfit planner,500-999,4,3,Bollywood/OTT celebrities|YouTube fashion vlogs,I follow trends,Frustrated - lots but stuck,Not concerned - repeat freely,Not a priority - price first,Occasionally 1 in 5,3,,3,3,3,9.0,0,40.0,50,Urban Trendsetter,None,Definitely will use - I need this,Interested
R1103,55+,Man,Tier 1,Salaried govt/PSU,75001-150000,112500,41-70,55,65,Local market,Once every 2-3 months,5057,3500,2000-5000,Casual/everyday basics|Western formal|Minimalist/monochrome,Kurta/kurti|Sherwani/bandgala,I dont own sarees,Neutrals,Watch/smartwatch|Western jewellery/minimalist,Daily office/college,0,Price/discount|Comfort and fabric quality,5,Yes tried once or twice,Comfortable with privacy controls,Smart shopping|Wardrobe gap analysis,250-499,2,3,In-store browsing|Friends and family,Clothing is self-expression,Confident - wardrobe works,Not concerned - repeat freely,Neutral - consider sometimes,Occasionally 1 in 5,1,4,4,3,2,1.9,0,35.0,36,Functional Minimalist,None,Definitely not interested,Not Interested
R1104,18-24,Man,Tier 1,Salaried private,,112500,41-70,55,55,Myntra/Ajio/Nykaa Fashion,Once every 2-3 months,7251,70000,40001-100000,Casual/everyday basics|Traditional ethnic,Anarkali/palazzo,I dont own sarees,Bright/vibrant|Neutrals|Printed/mixed patterns,Jhumkas/traditional jewellery|Handbag/tote|Watch/smartwatch|Dupatta/stole,Date night/parties|Daily office/college,16,Comfort and fabric quality|Friend/family recommendation,2,No but aware,Uncomfortable,Wardrobe gap analysis|Weather-based dressing|Smart shopping,,3,3,Friends and family|Bollywood/OTT celebrities,Dress for the occasion,Excited - love outfits,Very concerned - avoid it,Important - but dont always follow through,Occasionally 1 in 5,3,2,3,3,2,2.5,0,52.9,63,Budget Conscious,None,Unlikely - not for me,Not Interested
R1105,25-34,Man,Metro,Salaried private,20001-40000,30000,More than 100,120,15,Local market|Instagram/social commerce|In-store mall/high street,Once every 2-3 months,1464,10000,5001-15000,Traditional ethnic|Streetwear/athleisure|Indo-western fusion,Kurta/kurti|Salwar kameez/churidar|Lehenga,I dont own sarees,Jewel tones,Cap/hair accessories|Watch/smartwatch|Heels/formal footwear|Western jewellery/minimalist,Weddings/festive|Formal meetings/interviews|Casual outings/weekend,0,Brand name|Comfort and fabric quality|Price/discount,3,Yes tried once or twice,Neutral/unsure,Occasion outfit planner|Weather-based dressing,0 free only,3,2,Pinterest/mood boards|Instagram Reels/posts,Dress for the occasion,Frustrated - lots but stuck,Very concerned - avoid it,Not a priority - price first,Almost never - buy intentionally,4,3,4,2,4,10,0,11.3,61,Ethnic Traditionalist,None,"Might use, depends on features",Interested
R1106,18-24,Man,Metro,Self-employed/business,75001-150000,112500,71-100,85,35,Myntra/Ajio/Nykaa Fashion|In-store mall/high street,Seasonally,1136,130000,Above 100000,Streetwear/athleisure,Kurta/kurti,I dont own sarees,Bright/vibrant|Pastels|Printed/mixed patterns,Handbag/tote|Jhumkas/traditional jewellery|Sneakers/casual shoes,Weddings/festive|Daily office/college,6,Brand name|Trend/social media,3,No but aware,Uncomfortable,Style DNA report|Occasion outfit planner,100-249,4,3,Instagram Reels/posts,Dress for the occasion,Frustrated - lots but stuck,Neutral - depends,,Occasionally 1 in 5,3,3,4,3,4,5.5,0,50.2,58,Aspiring Premium,None,Unlikely - not for me,Not Interested
R1107,18-24,Woman,Tier 2,Freelancer/gig worker,20001-40000,30000,20-40,30,75,In-store mall/high street|Myntra/Ajio/Nykaa Fashion|Amazon/Flipkart,Seasonally,2203,10000,5001-15000,Streetwear/athleisure|Casual/everyday basics|Boho/eclectic,Salwar kameez/churidar|Saree|Anarkali/palazzo,Printed/block print,Neutrals|Earth tones|Pastels,Heels/formal footwear|Dupatta/stole|Watch/smartwatch|Jhumkas/traditional jewellery,Travel/vacation,11,Comfort and fabric quality|Trend/social media,2,No not aware,Completely comfortable,Wardrobe gap analysis|Occasion outfit planner|Weather-based dressing,1-99,3,3,Bollywood/OTT celebrities|Friends and family,Dress for the occasion,Indifferent - just clothes,Advocate outfit repeating,Neutral - consider sometimes,Often 1 in 2,3,2,5,3,3,0.8,1,13.1,29,Budget Conscious,None,Unlikely - not for me,Not Interested
R1108,18-24,Man,Tier 2,Freelancer/gig worker,Below 20000,12000,20-40,30,85,Amazon/Flipkart|In-store mall/high street,Seasonally,546,10000,5001-15000,Indo-western fusion,Anarkali/palazzo|Kurta/kurti,I dont own sarees,Jewel tones|Earth tones|Bright/vibrant,Western jewellery/minimalist|Sneakers/casual shoes,Weddings/festive|Travel/vacation|Casual outings/weekend,25,Brand name|Price/discount,3,Yes tried once or twice,Neutral/unsure,Wardrobe gap analysis|Weather-based dressing,0 free only,3,2,Friends and family|Bollywood/OTT celebrities,Clothing is self-expression,Indifferent - just clothes,Somewhat concerned - mix it up,Never thought about this,Occasionally 1 in 5,3,3,3,2,4,0.5,0,5.6,39,Budget Conscious,None,Unlikely - not for me,Not Interested
R1109,25-34,Woman,Tier 1,Student,40001-75000,57500,71-100,85,40,Amazon/Flipkart|In-store mall/high street,Once a month,1998,70000,40001-100000,Indo-western fusion|Traditional ethnic,Salwar kameez/churidar,I dont own sarees,Bright/vibrant,Jhumkas/traditional jewellery|Handbag/tote|Heels/formal footwear|Cap/hair accessories,Travel/vacation,22,Price/discount|Brand name,2,No not aware,Completely comfortable,Wardrobe gap analysis|Occasion outfit planner,0 free only,2,3,Pinterest/mood boards|In-store browsing,I follow trends,Frustrated - lots but stuck,Somewhat concerned - mix it up,Important - but dont always follow through,Occasionally 1 in 5,3,,4,3,3,5.1,0,29.6,59,Ethnic Traditionalist,None,Likely to try it out,Interested
R1110,35-44,Woman,Metro,Self-employed/business,40001-75000,57500,71-100,85,55,Amazon/Flipkart|Instagram/social commerce|Myntra/Ajio/Nykaa Fashion,Once a month,4111,3500,2000-5000,Indo-western fusion|Western formal|Maximalist/statement,Lehenga|Saree,Georgette/chiffon|Printed/block print|Handloom/weave,Bright/vibrant|Jewel tones,Handbag/tote|Jhumkas/traditional jewellery|Western jewellery/minimalist|Watch/smartwatch,Casual outings/weekend,12,Trend/social media|Comfort and fabric quality|Friend/family recommendation,3,Yes regularly,Comfortable with privacy controls,Weather-based dressing|Occasion outfit planner|Smart shopping,1000+,3,4,Friends and family|Bollywood/OTT celebrities,Dress for the occasion,Excited - love outfits,Very concerned - avoid it,Not a priority - price first,Often 1 in 2,2,2,4,4,4,3.8,1,21.8,82,Aspiring Premium,None,Definitely will use - I need this,Interested
R1111,18-24,Woman,Metro,Salaried private,,57500,41-70,55,55,Instagram/social commerce,Once a month,4814,70000,40001-100000,Indo-western fusion|Casual/everyday basics,Saree|Salwar kameez/churidar|Lehenga,Cotton Tant/Chanderi|Designer/embroidered,Pastels,Jhumkas/traditional jewellery|Kolhapuris/juttis|Western jewellery/minimalist,Weddings/festive,10,Brand name|Price/discount|Trend/social media,2,Yes tried once or twice,Neutral/unsure,Daily outfit suggestions|Smart shopping,0 free only,3,4,Pinterest/mood boards,I follow trends,Frustrated - lots but stuck,Very concerned - avoid it,,Often 1 in 2,,2,4,4,4,2.5,1,36.2,74,Aspiring Premium,None,"Might use, depends on features",Interested
R1112,35-44,Woman,Tier 3,Self-employed/business,20001-40000,30000,Fewer than 20,12,70,In-store mall/high street,Once a month,1748,1000,Below 2000,Indo-western fusion|Casual/everyday basics|Western formal,Salwar kameez/churidar|Kurta/kurti|Lehenga,I dont own sarees,Printed/mixed patterns,Sneakers/casual shoes|Handbag/tote|Heels/formal footwear|Cap/hair accessories,Weddings/festive|Casual outings/weekend,21,Comfort and fabric quality|Price/discount,4,No not aware,Comfortable with privacy controls,Wardrobe gap analysis|Occasion outfit planner,250-499,1,3,YouTube fashion vlogs,Dress for the occasion,Overwhelmed - too many choices,Neutral - depends,Not a priority - price first,Occasionally 1 in 5,5,5,4,3,4,0.4,0,10.3,53,Budget Conscious,None,Unlikely - not for me,Not Interested
R1113,35-44,Woman,Tier 3,Salaried govt/PSU,20001-40000,30000,Fewer than 20,12,80,Amazon/Flipkart|In-store mall/high street,Once every 2-3 months,886,10000,5001-15000,Casual/everyday basics,Kurta/kurti|Lehenga|Salwar kameez/churidar,,Neutrals|Earth tones|Printed/mixed patterns,Watch/smartwatch|Jhumkas/traditional jewellery|Dupatta/stole,Casual outings/weekend|Date night/parties,23,Price/discount|Comfort and fabric quality,1,No but aware,Comfortable with privacy controls,Weather-based dressing|Wardrobe gap analysis,0 free only,1,3,YouTube fashion vlogs,I follow trends,Overwhelmed - too many choices,Somewhat concerned - mix it up,Not a priority - price first,Sometimes 1 in 3,4,1,4,3,3,0.2,0,10.0,55,Budget Conscious,None,Likely to try it out,Interested
R1114,55+,Woman,Tier 2,Salaried govt/PSU,75001-150000,112500,71-100,85,35,Local market|Instagram/social commerce,More than once a month,2193,10000,5001-15000,Maximalist/statement|Traditional ethnic|Minimalist/monochrome,Salwar kameez/churidar|Sherwani/bandgala,I dont own sarees,Neutrals,Dupatta/stole|Jhumkas/traditional jewellery,Casual outings/weekend|Date night/parties|Weddings/festive,19,Brand name|Friend/family recommendation|Comfort and fabric quality,4,No not aware,Comfortable with privacy controls,Style DNA report|Occasion outfit planner|Wardrobe gap analysis,100-249,2,2,Pinterest/mood boards|Bollywood/OTT celebrities,I follow trends,Guilty - know I overbuy,Advocate outfit repeating,Very important - actively buy sustainable,Often 1 in 2,3,3,4,2,3,5.5,1,29.5,28,Ethnic Traditionalist,None,Unlikely - not for me,Not Interested
R1115,25-34,Woman,Tier 2,Salaried private,,112500,71-100,85,55,Amazon/Flipkart|Local market,Once a month,5879,102813,40001-100000,Traditional ethnic|Minimalist/monochrome,Salwar kameez/churidar|Saree,Cotton Tant/Chanderi|Designer/embroidered,Pastels|Earth tones,Jhumkas/traditional jewellery|Watch/smartwatch|Sneakers/casual shoes|Handbag/tote,Weddings/festive|Casual outings/weekend,28,Trend/social media|Price/discount,5,Yes tried once or twice,Comfortable with privacy controls,Wardrobe gap analysis|Occasion outfit planner,0 free only,5,3,Instagram Reels/posts,Clothing is self-expression,Indifferent - just clothes,Very concerned - avoid it,Not a priority - price first,Sometimes 1 in 3,4,2,3,3,5,3.8,0,56.0,45,Ethnic Traditionalist,Contradicting Spender,Unlikely - not for me,Not Interested
R1116,55+,Prefer not to say,Rural,Student,75001-150000,112500,20-40,30,70,Myntra/Ajio/Nykaa Fashion|Amazon/Flipkart|Local market,Rarely,13011,3500,2000-5000,Casual/everyday basics|Streetwear/athleisure,Sherwani/bandgala,I dont own sarees,Bright/vibrant,Handbag/tote|Western jewellery/minimalist|Heels/formal footwear,Casual outings/weekend|Weddings/festive|Formal meetings/interviews,7,Comfort and fabric quality|Price/discount,4,No but aware,Neutral/unsure,Daily outfit suggestions|Occasion outfit planner|Smart shopping,1-99,2,4,Bollywood/OTT celebrities|Instagram Reels/posts,Clothing is self-expression,Overwhelmed - too many choices,Somewhat concerned - mix it up,Neutral - consider sometimes,Almost never - buy intentionally,4,3,3,4,3,0.9,0,53.5,71,Budget Conscious,None,Definitely will use - I need this,Interested
R1117,35-44,Woman,Metro,Self-employed/business,40001-75000,57500,71-100,85,30,In-store mall/high street,Once every 2-3 months,3697,70000,40001-100000,Traditional ethnic|Casual/everyday basics,Saree|Sherwani/bandgala|Anarkali/palazzo,Georgette/chiffon|Printed/block print,Printed/mixed patterns|Neutrals,Jhumkas/traditional jewellery|Sneakers/casual shoes|Handbag/tote,Date night/parties|Casual outings/weekend,20,Friend/family recommendation|Brand name|Trend/social media,4,Yes regularly,Neutral/unsure,Daily outfit suggestions|Wardrobe gap analysis|Smart shopping,1-99,3,3,Instagram Reels/posts,Clothing is self-expression,Frustrated - lots but stuck,Very concerned - avoid it,Never thought about this,Often 1 in 2,,3,3,3,3,5.9,1,33.6,76,Urban Trendsetter,None,Definitely will use - I need this,Interested
R1118,25-34,Woman,Metro,Student,Above 150000,200000,71-100,85,55,In-store mall/high street|Local market,Seasonally,17581,27500,15001-40000,Traditional ethnic|Minimalist/monochrome,Saree,Silk Banarasi/Kanjeevaram,Jewel tones,Western jewellery/minimalist|Handbag/tote|Heels/formal footwear,Casual outings/weekend|Weddings/festive,18,Friend/family recommendation|Occasion need,3,Yes tried once or twice,Neutral/unsure,Weather-based dressing|Daily outfit suggestions,1-99,3,3,Instagram Reels/posts|Bollywood/OTT celebrities,Dress for the occasion,Excited - love outfits,Somewhat concerned - mix it up,Not a priority - price first,Sometimes 1 in 3,2,,4,3,3,3.8,0,86.3,76,Ethnic Traditionalist,None,Likely to try it out,Interested
R1119,25-34,Man,Tier 1,Self-employed/business,40001-75000,57500,71-100,85,45,Instagram/social commerce,More than once a month,5527,113290,40001-100000,Boho/eclectic|Indo-western fusion,Lehenga|None|Saree,,Bright/vibrant|Neutrals|Earth tones,Sneakers/casual shoes|Western jewellery/minimalist,Weddings/festive|Date night/parties|Daily office/college,7,Trend/social media|Friend/family recommendation|Sustainability/ethical brand,4,Yes tried once or twice,Comfortable with privacy controls,Daily outfit suggestions|Weather-based dressing,0 free only,3,5,Instagram Reels/posts,I follow trends,Guilty - know I overbuy,Neutral - depends,Not a priority - price first,Sometimes 1 in 3,3,3,4,5,3,4.7,0,46.2,52,Urban Trendsetter,Contradicting Spender,Unlikely - not for me,Not Interested
R1120,25-34,Man,Tier 1,Salaried private,75001-150000,112500,More than 100,120,25,Myntra/Ajio/Nykaa Fashion|Instagram/social commerce|In-store mall/high street,Rarely,100,130000,Above 100000,Indo-western fusion,Sherwani/bandgala|Salwar kameez/churidar|Kurta/kurti,I dont own sarees,Pastels|Jewel tones|Bright/vibrant,Sneakers/casual shoes|Watch/smartwatch|Jhumkas/traditional jewellery|Handbag/tote,Formal meetings/interviews|Daily office/college,36,Comfort and fabric quality|Brand name,2,Yes regularly,Comfortable with privacy controls,Daily outfit suggestions|Wardrobe gap analysis|Weather-based dressing,250-499,3,4,Bollywood/OTT celebrities|Pinterest/mood boards,I follow trends,Overwhelmed - too many choices,Not concerned - repeat freely,Not a priority - price first,Sometimes 1 in 3,3,2,4,4,3,9.0,0,47.7,70,Urban Trendsetter,None,Definitely not interested,Not Interested
R1121,Under 18,Woman,Rural,Self-employed/business,40001-75000,57500,41-70,55,60,In-store mall/high street|Amazon/Flipkart|Myntra/Ajio/Nykaa Fashion,Seasonally,3468,70000,40001-100000,Casual/everyday basics|Streetwear/athleisure|Traditional ethnic,Kurta/kurti|Sherwani/bandgala|Dhoti/lungi,I dont own sarees,Jewel tones,Watch/smartwatch|Heels/formal footwear|Handbag/tote,Daily office/college,17,Comfort and fabric quality|Trend/social media|Friend/family recommendation,4,Yes tried once or twice,Neutral/unsure,Weather-based dressing|Occasion outfit planner|Style DNA report,1-99,1,2,Instagram Reels/posts|Friends and family,Clothing is purely functional,Overwhelmed - too many choices,Not concerned - repeat freely,Neutral - consider sometimes,Almost never - buy intentionally,3,3,3,2,3,2.2,0,33.1,53,Budget Conscious,None,"Might use, depends on features",Interested
R1122,55+,Man,Tier 3,Retired,20001-40000,30000,20-40,30,75,Myntra/Ajio/Nykaa Fashion,More than once a month,1580,27500,15001-40000,Casual/everyday basics|Traditional ethnic|Indo-western fusion,Saree,Cotton Tant/Chanderi|Silk Banarasi/Kanjeevaram|Handloom/weave,Bright/vibrant,Jhumkas/traditional jewellery|Kolhapuris/juttis|Cap/hair accessories,Casual outings/weekend,16,Occasion need|Friend/family recommendation,3,No not aware,Neutral/unsure,Style DNA report|Weather-based dressing,0 free only,1,3,Friends and family|Bollywood/OTT celebrities,I follow trends,Overwhelmed - too many choices,Not concerned - repeat freely,Neutral - consider sometimes,Occasionally 1 in 5,4,,4,3,2,0.8,0,15.0,51,Budget Conscious,None,Definitely will use - I need this,Interested
R1123,25-34,Woman,Tier 3,Salaried govt/PSU,40001-75000,57500,41-70,55,55,Local market,Once every 2-3 months,1977,10000,5001-15000,Streetwear/athleisure,Salwar kameez/churidar,I dont own sarees,Pastels|Printed/mixed patterns|Bright/vibrant,Watch/smartwatch|Sneakers/casual shoes|Handbag/tote,Daily office/college|Casual outings/weekend|Date night/parties,26,Comfort and fabric quality|Trend/social media,2,No but aware,Comfortable with privacy controls,Smart shopping|Occasion outfit planner,100-249,3,2,Bollywood/OTT celebrities,I follow trends,Guilty - know I overbuy,Neutral - depends,Never thought about this,Sometimes 1 in 3,2,3,4,2,4,2.5,0,18.0,18,Budget Conscious,None,Unlikely - not for me,Not Interested
R1124,45-54,Woman,Tier 1,Self-employed/business,75001-150000,112500,20-40,30,55,In-store mall/high street|Amazon/Flipkart,Once a month,5320,27500,15001-40000,Traditional ethnic|Maximalist/statement,Dhoti/lungi,I dont own sarees,Neutrals|Monochrome|Jewel tones,Kolhapuris/juttis|Handbag/tote,Formal meetings/interviews,8,Friend/family recommendation|Occasion need,5,Yes regularly,Uncomfortable,Travel packing assistant|Wardrobe gap analysis,0 free only,2,4,Bollywood/OTT celebrities|Instagram Reels/posts,Clothing is self-expression,Indifferent - just clothes,Very concerned - avoid it,Neutral - consider sometimes,Occasionally 1 in 5,3,3,4,4,3,1.3,0,40.2,66,Ethnic Traditionalist,None,Likely to try it out,Interested
